Aligned_X,Aligned_Y,Index_X,Index_Y
-0.1807376459531275,-0.1807444015541328,143,87
-0.1807376459531275,-0.1807429472187634,143,88
-0.1807376459531275,-0.1807393501459076,143,89
-0.1807337604013583,-0.1807393501459076,144,89
-0.1807329086974818,-0.1807393501459076,145,89
-0.1807274427222035,-0.1807393501459076,146,89
-0.1807127353711931,-0.180708656374071,147,90
-0.1807127353711931,-0.1806888006396326,147,91
-0.1807127353711931,-0.1806810956853848,147,92
-0.1807127353711931,-0.1806906609283549,147,93
-0.1807127353711931,-0.1806913415460419,147,94
-0.1807127353711931,-0.1807044486201318,147,95
-0.1807127353711931,-0.1807024931454005,147,96
-0.1807127353711931,-0.1806990523031331,147,97
-0.1807127353711931,-0.1806990523031331,147,98
-0.1807127353711931,-0.1806987922187219,147,99
-0.1807127353711931,-0.1807047137583543,147,100
-0.1807127353711931,-0.1806942177082401,147,101
-0.1807127353711931,-0.18070148997244,147,102
-0.1807127353711931,-0.1807004867442046,147,103
-0.1807127353711931,-0.1807006527932604,147,104
-0.1807127353711931,-0.1807023502567325,147,105
-0.1807127353711931,-0.1807040003737758,147,106
-0.1807127353711931,-0.1807018571435317,147,107
-0.1807127353711931,-0.1806951386490888,147,108
-0.1807127353711931,-0.1806964675035887,147,109
-0.1807127353711931,-0.1807023766952889,147,110
-0.1807127353711931,-0.180703973052786,147,111
-0.1807127353711931,-0.1807005462056804,147,112
-0.1807127353711931,-0.1807023807726113,147,113
-0.1807127353711931,-0.1806992401144668,147,114
-0.1807127353711931,-0.1807063718665333,147,115
-0.1807127353711931,-0.1807057303881974,147,116
-0.1807127353711931,-0.1807040835288682,147,117
-0.1807127353711931,-0.1807068662819461,147,118
-0.1807127353711931,-0.180706202790306,147,119
-0.1807127353711931,-0.1807067179218455,147,120
-0.1807127353711931,-0.180699761561377,147,121
-0.1807127353711931,-0.1807006307632723,147,122
-0.1807127353711931,-0.1807031918630985,147,123
-0.1807127353711931,-0.1807082198168302,147,124
-0.1807127353711931,-0.1807054673545352,147,125
